"yearmonth";"client_type";"tariff_type";"system_zone";"segment";"tot_procured_volume";"tot_delivery_volume";"tot_hedged_volume";"tot_open_volume";"tot_generation_volume";"tot_revenues";"tot_hedged_cost";"tot_open_cost";"tot_generation_cost";"tot_balancing_cost";"tot_uplift_cost";"tot_OPEX_cost";"tot_total_cost";"tot_margin";"hpfc";"unit_revenues";"unit_hedged";"unit_open_cost";"unit_generation_cost";"unit_balancing_cost";"unit_uplift_cost";"unit_OPEX_cost";"unit_total_cost";"unit_margin_cost";"voltage";"supply"
"2022-01";"contracted";"fixed";1;"non_strategical";7440;7440;0;7440;0;1488000;0;152776624385486;0;144907393407874;850105592264383;0;162726754242209;-13926754242209;20534492524931;200;0;20534492524931;0;194768001892303;114261504336611;0;218718755701894;-187187557018938;"HV";"EDS"
"2022-01";"contracted";"uplift_indexed";1;"non_strategical";15867212;15867212;15867212;0;0;211565005455479;182553387551995;0;0;30904251768416;181301151274794;0;203773927856316;779107759916268;20534492524931;133334706472365;11505070175655;0;0;194768001892305;114261504336612;0;128424532209134;491017426323079;"HV";"EDS"
"2022-01";"expected";"fixed";1;"strategical";39158145;39158145;0;0;39158145;3876656355;0;0;3876656355;762675365945917;447426855473119;0;440035074706771;-523694392067709;20534492524931;989999999999999;0;0;989999999999999;194768001892305;114261504336612;0;112373830452584;-133738304525842;"HV";"EDS"
"2022-02";"contracted";"fixed";1;"non_strategical";6720;6720;0;6720;0;1344000;0;134793698068313;0;130884097271628;767837309142024;0;14378091213245;-938091213244974;200585860220704;200;0;200585860220704;0;194768001892304;114261504336611;0;213959690673288;-139596906732883;"HV";"EDS"
"2022-02";"contracted";"uplift_indexed";1;"non_strategical";21375997;21375997;21375997;0;0;287905326382148;248795038836996;0;0;416336022414592;244245357391491;0;27738293480029;105223915818588;200585860220704;134686268145597;116389911000172;0;0;194768001892305;114261504336612;0;129763741452756;492252669284093;"HV";"EDS"
"2022-02";"expected";"fixed";1;"strategical";37280867;37280867;0;0;37280867;3690805833;0;0;3690805833;726111997440279;425976794639316;0;418939382738334;-498587994383343;200585860220704;99;0;0;99;194768001892305;114261504336612;0;112373830452584;-133738304525843;"HV";"EDS"
"2022-03";"contracted";"fixed";1;"non_strategical";7430;7430;0;7430;0;1486000;0;141600795290965;0;144712625405981;848962977221017;0;151537551317235;-293755131723482;19057980523683;200;0;19057980523683;0;194768001892303;114261504336611;0;203953635689414;-39536356894143;"HV";"EDS"
"2022-03";"contracted";"uplift_indexed";1;"non_strategical";24368782;24368782;24368782;0;0;328358783529709;283771466711995;0;0;474625897868917;278441369017095;0;316361862592393;119969209373162;19057980523683;134745669081741;116448769048857;0;0;194768001892305;114261504336612;0;129822599501441;492306958029998;"HV";"EDS"
"2022-03";"expected";"fixed";1;"strategical";40570995;40570995;0;0;40570995;4016528505;0;0;4016528505;790193163093272;463570292113316;0;455911811342264;-542589608422643;19057980523683;989999999999999;0;0;989999999999999;194768001892306;114261504336612;0;112373830452584;-133738304525842;"HV";"EDS"
"2022-04";"contracted";"fixed";1;"non_strategical";7200;7200;0;7200;0;1440000;0;750277574625949;0;140232961362458;822682831223597;0;846569153884555;593430846115444;104205218698048;200;0;104205218698049;0;194768001892303;114261504336611;0;117579049150633;824209508493673;"HV";"EDS"
"2022-04";"contracted";"uplift_indexed";1;"non_strategical";24121648;24121648;24121648;0;0;325308670847582;281170974427995;0;0;469812518330955;275617578755823;0;313430857486887;118778133606956;104205218698048;13486171046339;116563749884749;0;0;194768001892306;114261504336612;0;129937580337333;492413012605757;"HV";"EDS"
"2022-04";"expected";"fixed";1;"strategical";36206118;36206118;0;0;36206118;3584405682;0;0;3584405682;705179325913704;413696550886889;0;406862016547826;-484214483478259;104205218698048;989999999999998;0;0;989999999999998;194768001892306;114261504336612;0;112373830452584;-133738304525842;"HV";"EDS"
"2022-05";"contracted";"fixed";1;"non_strategical";7440;7440;0;7440;0;1488000;0;789024190955737;0;144907393407874;850105592264383;0;888525489522964;599474510477036;10605163856932;200;0;10605163856932;0;194768001892303;114261504336611;0;119425469021904;805745309780962;"HV";"EDS"
